date,time,sensor_name,room,aim,msg,control
2011-06-15,03:40:19.513883,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:20.681682,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:40:21.204440,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:22.327229,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:40:26.465630,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:27.609382,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:40:28.131803,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:29.264003,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:40:31.010392,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:32.092830,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:40:56.262389,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:57.959883,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:41:00.962796,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:41:02.861628,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:41:03.392700,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:41:07.184972,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:41:17.465466,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:41:18.560847,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:41:19.503609,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:41:21.422252,M018,Bedroom,Hall,ON,Control4-Motion
2011-06-15,03:41:22.535063,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:41:26.212465,M018,Bedroom,Hall,OFF,Control4-Motion
2011-06-15,03:41:26.734722,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:26.950250,M019,Bedroom,Bedroom,ON,Control4-Motion
2011-06-15,03:41:29.410729,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:41:29.539310,M019,Bedroom,Bedroom,OFF,Control4-Motion
2011-06-15,03:41:30.153432,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:31.225350,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:41:31.774390,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:41:32.170803,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:33.321790,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:41:35.099490,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:41:35.713086,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:36.972317,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:41:37.838300,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:41:38.112345,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:41:39.832823,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:40.352710,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:41:42.278751,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:41:42.400386,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:41:44.449432,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:41:45.628034,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:41:45.867353,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:46.335058,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:41:47.526486,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:41:47.661542,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:41:48.395597,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:41:49.282211,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:41:50.300880,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:41:50.402649,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:44:50.862962,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:44:51.929508,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,04:41:28.179357,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,04:41:29.333803,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,06:34:36.099241,LS004,Ignore,Ignore,9,Control4-LightSensor
2011-06-15,06:38:16.576298,LS022,Ignore,Ignore,3,Control4-LightSensor
2011-06-15,06:39:43.624835,LS016,Ignore,Ignore,5,Control4-LightSensor
2011-06-15,06:39:48.750662,LS008,Ignore,Ignore,3,Control4-LightSensor
2011-06-15,06:40:01.756939,LS006,Ignore,Ignore,13,Control4-LightSensor
2011-06-15,06:40:02.668485,LS005,Ignore,Ignore,10,Control4-LightSensor
2011-06-15,06:40:11.112647,LS007,Ignore,Ignore,5,Control4-LightSensor
2011-06-15,06:40:15.427888,LS001,Ignore,Ignore,4,Control4-LightSensor
2011-06-15,06:41:24.365682,LS015,Ignore,Ignore,7,Control4-LightSensor
2011-06-15,06:41:40.312279,LS020,Ignore,Ignore,4,Control4-LightSensor
2011-06-15,06:42:17.678449,LS002,Ignore,Ignore,7,Control4-LightSensor
2011-06-15,06:42:20.861714,LS010,Ignore,Ignore,15,Control4-LightSensor
2011-06-15,06:42:21.900672,LS003,Ignore,Ignore,16,Control4-LightSensor
2011-06-15,06:42:29.960951,LS017,Ignore,Ignore,3,Control4-LightSensor
2011-06-15,06:42:30.716795,LS012,Ignore,Ignore,3,Control4-LightSensor
2011-06-15,06:42:32.386772,LS011,Ignore,Ignore,5,Control4-LightSensor
2013-09-05,15:37:42.933828,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2013-09-05,15:37:44.071795,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2013-09-05,15:37:44.853802,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2013-09-05,15:37:45.979138,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2013-09-05,15:37:46.544398,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2013-09-05,15:37:48.180402,M019,Bedroom,Bedroom,ON,Control4-Motion
2013-09-05,15:37:51.220601,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2013-09-05,15:37:52.035071,M019,Bedroom,Bedroom,OFF,Control4-Motion
2013-09-05,15:37:53.014827,M018,Bedroom,Hall,ON,Control4-Motion
2013-09-05,15:37:56.304188,M018,Bedroom,Hall,OFF,Control4-Motion
2013-09-05,15:38:04.136874,LS013,Ignore,Ignore,52,Control4-LightSensor
2013-09-05,15:38:04.205058,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2013-09-05,15:38:12.896991,LS013,Ignore,Ignore,51,Control4-LightSensor
2013-09-05,15:38:12.985085,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2013-09-06,15:38:14.665051,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
